,x,y,genre,title
0,-46.273094,-35.97981,Adventure,Toy Story (1995)
1,-35.6426,19.647865,Adventure,Jumanji (1995)
2,3.3656952,-25.41954,Comedy,Grumpier Old Men (1995)
3,66.05215,-66.33538,Comedy,Waiting to Exhale (1995)
4,-9.833132,53.098362,Comedy,Father of the Bride Part II (1995)
5,-24.061255,-65.62373,Action,Heat (1995)
6,-41.50483,59.209217,Comedy,Sabrina (1995)
7,34.563725,73.32231,Adventure,Tom and Huck (1995)
8,-21.41329,82.030945,Action,Sudden Death (1995)
9,-13.395956,24.388582,Action,GoldenEye (1995)
10,-13.369377,-62.895172,Comedy,"American President, The (1995)"
11,40.401913,-77.105255,Comedy,Dracula: Dead and Loving It (1995)
12,6.561389,-15.379142,Adventure,Balto (1995)
13,11.493071,-64.10596,Drama,Nixon (1995)
14,-52.28423,32.200314,Action,Cutthroat Island (1995)
15,-36.780533,-42.340736,Crime,Casino (1995)
16,-69.67259,-24.922768,Drama,Sense and Sensibility (1995)
17,-0.35607353,-53.925537,Comedy,Four Rooms (1995)
18,48.426846,-84.449234,Comedy,Ace Ventura: When Nature Calls (1995)
19,-27.995245,61.921955,Action,Money Train (1995)
20,-5.3936954,-27.286966,Comedy,Get Shorty (1995)
21,1.6515616,-21.91399,Crime,Copycat (1995)
22,-12.9256935,55.731037,Action,Assassins (1995)
23,-26.978397,28.579453,Drama,Powder (1995)
24,-51.630444,-9.50698,Drama,Leaving Las Vegas (1995)
25,-4.5921464,-21.300035,Drama,Othello (1995)
26,-39.149345,42.870647,Children,Now and Then (1995)
27,-65.92378,-44.982315,Drama,Persuasion (1995)
28,-66.59887,-32.495907,Adventure,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
29,45.609333,-81.34516,Crime,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
30,-36.28559,31.230913,Drama,Dangerous Minds (1995)
31,-68.793274,-42.749542,Mystery,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
32,-7.572461,-20.073471,Children,Babe (1995)
33,-18.220861,-71.08281,Crime,Dead Man Walking (1995)
34,28.728209,88.75065,Children,It Takes Two (1995)
35,-9.487596,-1.4277003,Comedy,Clueless (1995)
36,47.85322,13.432564,Drama,"Cry, the Beloved Country (1995)"
37,-0.8645522,-53.545357,Drama,Richard III (1995)
38,-40.925724,61.21735,Action,Dead Presidents (1995)
39,-28.751335,33.494884,Drama,Restoration (1995)
40,40.559284,-77.19736,Action,Mortal Kombat (1995)
41,-39.62308,16.351976,Comedy,To Die For (1995)
42,-33.135376,37.21985,Drama,How to Make an American Quilt (1995)
43,-57.314224,-30.560469,Mystery,Seven (a.k.a. Se7en) (1995)
44,-21.949347,58.858967,Animation,Pocahontas (1995)
45,59.444195,-36.394,Drama,When Night Is Falling (1995)
46,-68.613716,-47.11216,Crime,"Usual Suspects, The (1995)"
47,0.94827116,-22.760677,Comedy,Mighty Aphrodite (1995)
48,0.9230338,-75.25479,Adventure,Lamerica (1994)
49,24.326014,63.115982,Children,"Big Green, The (1995)"
50,-42.06299,-44.524235,Drama,Georgia (1995)
51,-8.869738,95.191826,Drama,Home for the Holidays (1995)
52,-79.5127,-35.470657,Comedy,"Postman, The (Postino, Il) (1994)"
53,-33.192528,10.448726,Adventure,"Indian in the Cupboard, The (1995)"
54,-37.758217,19.31107,Drama,Eye for an Eye (1996)
55,-56.84798,-8.661331,Drama,Mr. Holland's Opus (1995)
56,13.146986,99.806305,Comedy,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
57,25.41073,-71.71929,Comedy,Two if by Sea (1996)
58,57.740334,-78.34255,Comedy,Bio-Dome (1996)
59,36.205345,-73.2683,Action,Lawnmower Man 2: Beyond Cyberspace (1996)
60,68.72511,40.731705,Comedy,French Twist (Gazon maudit) (1995)
61,-0.21765657,-49.37385,Comedy,Friday (1995)
62,-60.891792,22.004007,Action,From Dusk Till Dawn (1996)
63,62.257885,-67.76377,Action,Fair Game (1995)
64,-67.27225,28.144386,Comedy,Kicking and Screaming (1995)
65,-78.87005,-23.441723,Drama,"Misérables, Les (1995)"
66,-30.795717,27.099813,Drama,Bed of Roses (1996)
67,60.61914,56.232487,Comedy,Big Bully (1996)
68,-53.29671,26.30072,Action,Screamers (1995)
69,37.438633,-47.389618,Documentary,Nico Icon (1995)
70,-53.31861,46.312828,Action,"Crossing Guard, The (1995)"
71,-31.669613,43.971123,Drama,"Juror, The (1996)"
72,-46.757378,-15.251639,Children,"White Balloon, The (Badkonake sefid) (1995)"
73,-31.95383,43.439407,Crime,Things to Do in Denver When You're Dead (1995)
74,-3.213778,-36.66567,Comedy,Antonia's Line (Antonia) (1995)
75,8.596348,24.974552,Drama,Once Upon a Time... When We Were Colored (1995)
76,-48.870144,-36.875275,Drama,Angels and Insects (1995)
77,-54.22117,27.388914,Action,White Squall (1996)
78,87.5458,-12.0519285,Children,Dunston Checks In (1996)
79,-32.234024,37.4515,Comedy,Black Sheep (1996)
80,-58.210155,29.289793,Action,Nick of Time (1995)
81,74.26536,-40.722496,Drama,Mary Reilly (1996)
82,-12.761217,49.328556,Comedy,Vampire in Brooklyn (1995)
83,16.30035,-27.530903,Comedy,Beautiful Girls (1996)
